[1, 'Сокольническая', 1, 'Бульвар Рокоссовского', '55.8148', '37.7342']
[1, 'Сокольническая', 2, 'Черкизовская', '55.8038', '37.7448', 1]
[1, 'Сокольническая', 3, 'Преображенская площадь', '55.7963', '37.7151', 2]
[1, 'Сокольническая', 4, 'Сокольники', '55.7888', '37.6802', 3]
[1, 'Сокольническая', 5, 'Красносельская', '55.7801', '37.6673', 4]
[1, 'Сокольническая', 6, 'Комсомольская', '55.7753', '37.6562', 5]
[1, 'Сокольническая', 7, 'Красные ворота', '55.7690', '37.6487', 6]
[1, 'Сокольническая', 8, 'Чистые пруды', '55.7657', '37.6388', 7]
[1, 'Сокольническая', 9, 'Лубянка', '55.7597', '37.6272', 8]
[1, 'Сокольническая', 10, 'Охотный ряд', '55.7577', '37.6166', 9]
[1, 'Сокольническая', 11, 'Библиотека имени Ленина', '55.7512', '37.6100', 10]
[1, 'Сокольническая', 12, 'Кропоткинская', '55.7453', '37.6037', 11]
[1, 'Сокольническая', 13, 'Парк культуры', '55.7356', '37.5943', 12]
[1, 'Сокольническая', 14, 'Фрунзенская', '55.7267', '37.5786', 13]
[1, 'Сокольническая', 15, 'Спортивная', '55.7233', '37.5639', 14]
[1, 'Сокольническая', 16, 'Воробьевы горы', '55.7103', '37.5592', 15]
[1, 'Сокольническая', 17, 'Университет', '55.6926', '37.5333', 16]
[1, 'Сокольническая', 18, 'Проспект Вернадского', '55.6771', '37.5060', 17]
[1, 'Сокольническая', 19, 'Юго-Западная', '55.6637', '37.4833', 18]
[1, 'Сокольническая', 20, 'Тропарево', '55.6459', '37.4725', 19]
[1, 'Сокольническая', 21, 'Румянцево', '55.6330', '37.4419', 20]
[1, 'Сокольническая', 22, 'Саларьево', '55.6219', '37.4242', 21]
[2, 'Замоскворецкая', 23, 'Речной вокзал', '55.8549', '37.4761']
[2, 'Замоскворецкая', 24, 'Водный стадион', '55.8398', '37.4867', 23]
[2, 'Замоскворецкая', 25, 'Войковская', '55.8190', '37.4980', 24]
[2, 'Замоскворецкая', 26, 'Сокол', '55.8051', '37.5153', 25]
[2, 'Замоскворецкая', 27, 'Аэропорт', '55.8003', '37.5329', 26]
[2, 'Замоскворецкая', 28, 'Динамо', '55.7897', '37.5580', 27]
[2, 'Замоскворецкая', 29, 'Белорусская', '55.7767', '37.5835', 28]
[2, 'Замоскворецкая', 30, 'Маяковская', '55.7701', '37.5958', 29]
[2, 'Замоскворецкая', 31, 'Тверская', '55.7647', '37.6065', 30]
[2, 'Замоскворецкая', 32, 'Театральная', '55.7578', '37.6190', 31]
[2, 'Замоскворецкая', 33, 'Новокузнецкая', '55.7415', '37.6295', 32]
[2, 'Замоскворецкая', 34, 'Павелецкая', '55.7305', '37.6377', 33]
[2, 'Замоскворецкая', 35, 'Автозаводская', '55.7074', '37.6576', 34]
[2, 'Замоскворецкая', 36, 'Технопарк', '55.6950', '37.6641', 35]
[2, 'Замоскворецкая', 37, 'Коломенская', '55.6785', '37.6638', 36]
[2, 'Замоскворецкая', 38, 'Каширская', '55.6551', '37.6487', 37]
[2, 'Замоскворецкая', 39, 'Кантемировская', '55.6358', '37.6564', 38]
[2, 'Замоскворецкая', 40, 'Царицыно', '55.6214', '37.6694', 39]
[2, 'Замоскворецкая', 41, 'Орехово', '55.6132', '37.6949', 40]
[2, 'Замоскворецкая', 42, 'Домодедовская', '55.6108', '37.7186', 41]
[2, 'Замоскворецкая', 43, 'Красногвардейская', '55.6137', '37.7444', 42]
[2, 'Замоскворецкая', 44, 'Алма-Атинская', '55.6326', '37.7660', 43]
[3, 'Арбатско-Покровская', 45, 'Пятницкое шоссе', '55.8563', '37.3544']
[3, 'Арбатско-Покровская', 46, 'Митино', '55.8457', '37.3622', 45]
[3, 'Арбатско-Покровская', 47, 'Волоколамская', '55.8354', '37.3822', 46]
[3, 'Арбатско-Покровская', 48, 'Мякинино', '55.8252', '37.3852', 47]
[3, 'Арбатско-Покровская', 49, 'Строгино', '55.8038', '37.4031', 48]
[3, 'Арбатско-Покровская', 50, 'Крылатское', '55.7567', '37.4081', 49]
[3, 'Арбатско-Покровская', 51, 'Молодежная', '55.7408', '37.4168', 50]
[3, 'Арбатско-Покровская', 52, 'Кунцевская', '55.7307', '37.4459', 51]
[3, 'Арбатско-Покровская', 53, 'Славянский бульвар', '55.7296', '37.4706', 52]
[3, 'Арбатско-Покровская', 54, 'Парк Победы', '55.7362', '37.5182', 53]
[3, 'Арбатско-Покровская', 55, 'Киевская', '55.7442', '37.5645', 54]
[3, 'Арбатско-Покровская', 56, 'Смоленская', '55.7474', '37.5823', 55]
[3, 'Арбатско-Покровская', 57, 'Арбатская', '55.7522', '37.6061', 56]
[3, 'Арбатско-Покровская', 58, 'Площадь Революции', '55.7566', '37.6216', 57]
[3, 'Арбатско-Покровская', 59, 'Курская', '55.7576', '37.6577', 58]
